시리얼,온도 평균(℃),습도 평균(%),총 결측 수,총 행 수,결측률 (%)
OC3CL200123,146,0,146,8844,0.8254183627317956
V02Q1940767,152,0,152,9217,0.8245633069328415
V02Q1940774,151,0,151,9174,0.8229779812513626
OC3CL200120,146,0,146,8875,0.8225352112676056
V02Q1940304,148,0,148,9020,0.8203991130820398
OC3CL200119,147,0,147,8962,0.8201294353938854
V02Q1940148,150,0,150,9167,0.8181520671975565
V02Q1940187,150,0,150,9176,0.8173496076721883
V02Q1940776,151,0,151,9240,0.8170995670995671
V02Q1940648,149,0,149,9118,0.8170651458653213
V02Q1940288,151,0,151,9241,0.8170111459798722
V02Q1940727,150,0,150,9194,0.8157494017837721
OC3CL200063,145,0,145,8897,0.814881420703608
V02Q1940473,148,0,148,9085,0.8145294441386902
OC3CL200125,143,0,143,8805,0.8120386144236229
V02Q1940765,150,0,150,9239,0.8117761662517589
V02Q1940330,149,0,149,9184,0.8111933797909407
OC3CL200130,143,0,143,8841,0.8087320438864383
V02Q1940688,147,0,147,9093,0.8083140877598153
OC3CL200208,145,0,145,8970,0.8082497212931996
V02Q1940668,147,0,147,9106,0.8071601142104108
V02Q1940463,147,0,147,9116,0.8062746818780167
V02Q1940359,147,0,147,9122,0.8057443543082657
V02Q1940374,141,0,141,8750,0.8057142857142856
V02Q1940402,147,0,147,9138,0.804333552199606
V02Q1940405,144,0,144,8960,0.8035714285714285
V02Q1940759,148,0,148,9218,0.8027771750922109
V02Q1940607,146,0,146,9094,0.8027270727952497
OC3CL200121,143,0,143,8908,0.8026493039964078
V02Q1940586,146,0,146,9101,0.80210965827931
OC3CL200083,143,0,143,8918,0.8017492711370262
V02Q1940056,146,0,146,9110,0.8013172338090011
V02Q1940135,147,0,147,9179,0.800740821440244
V02Q1940277,147,0,147,9180,0.8006535947712418
V02Q1940248,148,0,148,9243,0.8006058638970032
V02Q1940380,147,0,147,9182,0.8004791984317142
V02Q1940646,146,0,146,9131,0.7994743182564888
OC3CL200150,141,0,141,8837,0.7977820527328279
V02Q1940291,147,0,147,9216,0.7975260416666666
V02Q1940063,145,0,145,9094,0.7972289421596658
V02Q1940587,145,0,145,9115,0.7953922106417993
V02Q1940360,145,0,145,9115,0.7953922106417993
V02Q1940118,145,0,145,9139,0.7933034248823723
V02Q1940092,146,0,146,9204,0.7931334202520642
V02Q1940339,145,0,145,9174,0.79027686941356
V02Q1940115,145,0,145,9175,0.7901907356948229
V02Q1940337,145,0,145,9196,0.788386254893432
V02Q1940731,143,0,143,9078,0.7876184181537784
V02Q1940104,145,0,145,9205,0.7876154263986964
V02Q1940139,144,0,144,9145,0.7873154729360307
V02Q1940095,145,0,145,9209,0.7872733195786731
V02Q1940527,143,0,143,9090,0.7865786578657866
V02Q1940157,144,0,144,9170,0.7851690294438387
V02Q1940484,143,0,143,9113,0.7845934379457917
V02Q1940547,143,0,143,9117,0.7842492047822749
V02Q1940083,143,0,143,9130,0.783132530120482
V02Q1940276,144,0,144,9195,0.7830342577487764
V02Q1940059,142,0,142,9087,0.7813359744690216
V02Q1940568,141,0,141,9024,0.78125
V02Q1940762,144,0,144,9225,0.7804878048780488
V02Q1940399,143,0,143,9166,0.7800567313986472
V02Q1940639,137,0,137,8798,0.7785860422823369
V02Q1940791,143,0,143,9190,0.7780195865070729
V02Q1940711,142,0,142,9131,0.777570912276859
V02Q1940234,143,0,143,9199,0.7772583976519187
V02Q1940609,141,0,141,9072,0.7771164021164021
V02Q1940221,142,0,142,9153,0.7757019556429586
V02Q1940315,129,0,129,8340,0.7733812949640287
V02Q1940531,140,0,140,9053,0.7732243455208219
V02Q1940719,142,0,142,9192,0.7724107919930374
V02Q1940343,141,0,141,9130,0.7721796276013143
V02Q1940794,142,0,142,9195,0.7721587819467102
V02Q1940094,142,0,142,9199,0.7718230242417654
V02Q1940673,140,0,140,9073,0.7715198941915574
V02Q1940162,141,0,141,9141,0.77125041023958
V02Q1940443,140,0,140,9078,0.7710949548358669
V02Q1940749,141,0,141,9147,0.7707445063955395
V02Q1940879,143,0,143,9277,0.7707232941683734
OC3CL200023,138,0,138,8956,0.7704332291201429
V02Q1940239,142,0,142,9223,0.7698145939499078
V02Q1940524,140,0,140,9096,0.7695690413368513
V02Q1940193,142,0,142,9229,0.7693141185393868
V02Q1940947,143,0,143,9311,0.7679089249275051
V02Q1940945,143,0,143,9322,0.7670027891010514
V02Q1940125,141,0,141,9192,0.7669712793733682
OC3CL200043,136,0,136,8867,0.7668884628397429
V02Q1940124,135,0,135,8803,0.7667840508917415
V02Q1940061,118,0,118,7695,0.7667316439246263
V02Q1940342,140,0,140,9153,0.7647765759860154
V02Q1940615,139,0,139,9090,0.7645764576457645
V02Q1940778,141,0,141,9232,0.7636481802426343
V02Q1940081,138,0,138,9038,0.7634432396547909
V02Q1940424,139,0,139,9105,0.7633168588687534
V02Q1940385,139,0,139,9148,0.7597289024923481
V02Q1940322,140,0,140,9220,0.7592190889370932
V02Q1940398,139,0,139,9174,0.7575757575757576
V02Q1940482,138,0,138,9114,0.7570770243581304
V02Q1940584,138,0,138,9118,0.7567449001974117
V02Q1940252,140,0,140,9268,0.7552870090634441
V02Q1940123,138,0,138,9156,0.7536041939711665
V02Q1940448,137,0,137,9093,0.7533267348509843
V02Q1940334,139,0,139,9226,0.7533058747019293
V02Q1940440,137,0,137,9102,0.7525818501428257
V02Q1940523,137,0,137,9107,0.7521686614691995
OC3CL200065,133,0,133,8861,0.7504796298386187
V02Q1940695,137,0,137,9130,0.7502738225629791
V02Q1940270,138,0,138,9207,0.7494297816878462
V02Q1940307,138,0,138,9213,0.7489417127971344
V02Q1940217,137,0,137,9150,0.7486338797814207
V02Q1940410,136,0,136,9109,0.746514436271819
OC3CL200079,134,0,134,8976,0.7464349376114082
V02Q1940191,137,0,137,9184,0.7458623693379791
V02Q1940489,135,0,135,9057,0.7452798940046373
V02Q1940305,137,0,137,9194,0.7450511202958451
V02Q1940134,137,0,137,9206,0.7440799478600912
OC3CL200131,131,0,131,8812,0.7433045846572855
V02Q1940241,137,0,137,9229,0.7422255932387041
OC3CL200057,134,0,134,9034,0.741642683196812
V02Q1940329,134,0,134,9071,0.7386175724837394
V02Q1940468,134,0,134,9072,0.7385361552028218
V02Q1940583,133,0,133,9017,0.7374958411888655
V02Q1940723,135,0,135,9171,0.7360157016683023
V02Q1940243,136,0,136,9260,0.734341252699784
V02Q1940742,135,0,135,9192,0.7343342036553525
V02Q1940184,135,0,135,9202,0.7335361877852641
OC3CL200172,131,0,131,8942,0.7324983225229256
V02Q1940275,135,0,135,9216,0.732421875
V02Q1940371,134,0,134,9155,0.7318405243036592
V02Q1940126,134,0,134,9167,0.7308825133631504
V02Q1940721,134,0,134,9167,0.7308825133631504
V02Q1940255,135,0,135,9243,0.7302823758519961
V02Q1940616,133,0,133,9111,0.7298869498408517
V02Q1940430,130,0,130,8908,0.7296811854512798
V02Q1940421,133,0,133,9115,0.7295666483817883
V02Q1940617,133,0,133,9116,0.7294866169372533
V02Q1940672,132,0,132,9061,0.7283964242357356
V02Q1940117,133,0,133,9144,0.7272528433945756
OC3CL200084,129,0,129,8889,0.7256159298008774
V02Q1940363,132,0,132,9129,0.7229707525468287
V02Q1940088,133,0,133,9205,0.7224334600760456
V02Q1940657,132,0,132,9137,0.7223377476195687
V02Q1940065,132,0,132,9149,0.7213903158815171
OC3CL200149,127,0,127,8807,0.7210173725445668
V02Q1940678,132,0,132,9154,0.7209962857767096
V02Q1940685,132,0,132,9156,0.7208387942332897
V02Q1940431,131,0,131,9092,0.7204135503739552
V02Q1940167,132,0,132,9172,0.719581334496293
V02Q1940773,132,0,132,9185,0.718562874251497
V02Q1940555,131,0,131,9134,0.7171009415371141
V02Q1940373,131,0,131,9145,0.7162383816293056
V02Q1940301,132,0,132,9215,0.716223548562127
V02Q1940058,130,0,130,9088,0.7152288732394366
V02Q1940789,130,0,130,9100,0.7142857142857143
V02Q1940433,130,0,130,9104,0.7139718804920914
V02Q1940860,130,0,130,9112,0.7133450395083406
V02Q1940188,129,0,129,9050,0.7127071823204421
OC3CL200148,126,0,126,8840,0.7126696832579186
V02Q1940435,130,0,130,9142,0.711004156639685
V02Q1940202,130,0,130,9149,0.710460159580282
V02Q1940797,130,0,130,9160,0.7096069868995634
OC3CL200042,126,0,126,8891,0.7085817118434372
V02Q1940832,131,0,131,9250,0.7081081081081081
OC3CL200062,126,0,126,8913,0.7068327162571525
V02Q1940454,129,0,129,9129,0.7065395990798554
V02Q1940543,129,0,129,9138,0.7058437294812869
V02Q1940349,129,0,129,9141,0.7056120774532327
V02Q1940871,131,0,131,9293,0.7048315936726568
OC3CL200145,125,0,125,8872,0.704463480613165
V02Q1940842,131,0,131,9299,0.7043768147112592
V02Q1940875,131,0,131,9304,0.7039982803095443
OC3CL200103,125,0,125,8878,0.7039873845460689
V02Q1940834,130,0,130,9236,0.70376786487657
OC3CL200092,127,0,127,9030,0.7032115171650055
V02Q1940619,128,0,128,9102,0.7031421665568007
V02Q1940434,128,0,128,9106,0.7028332967274324
OC3CL200147,124,0,124,8830,0.7021517553793885
V02Q1940785,130,0,130,9258,0.7020954849859581
V02Q1940846,131,0,131,9338,0.7014349967873207
V02Q1940179,127,0,127,9056,0.7011925795053003
V02Q1940681,127,0,127,9056,0.7011925795053003
V02Q1940319,129,0,129,9208,0.700477845351868
V02Q1940295,129,0,129,9209,0.7004017808665436
V02Q1940841,130,0,130,9305,0.6985491671144546
V02Q1940843,130,0,130,9305,0.6985491671144546
V02Q1940954,130,0,130,9308,0.6983240223463687
V02Q1940781,129,0,129,9241,0.6979764094794936
OC3CL200170,124,0,124,8884,0.6978838361098605
V02Q1940189,127,0,127,9105,0.6974190005491488
OC3CL200108,123,0,123,8819,0.6973579770949088
V02Q1940413,127,0,127,9109,0.697112745636184
V02Q1940955,130,0,130,9349,0.6952615252968232
V02Q1940691,126,0,126,9077,0.6940619147295362
V02Q1940313,128,0,128,9240,0.6926406926406926
V02Q1940073,127,0,127,9168,0.6926265270506108
V02Q1940764,128,0,128,9246,0.6921912178239239
V02Q1940573,125,0,125,9049,0.690684053486573
OC3CL200061,123,0,123,8934,0.6883814640698456
V02Q1940453,125,0,125,9105,0.6864360241625481
V02Q1940462,125,0,125,9109,0.6861345921615984
OC3CL200102,122,0,122,8893,0.6859327561003036
V02Q1940572,124,0,124,9058,0.684477809671009
V02Q1940165,121,0,121,8868,0.6822282363554353
V02Q1940428,121,0,121,8882,0.6811528934924567
V02Q1940163,125,0,125,9189,0.6801610621395147
OC3CL200026,121,0,121,8895,0.6801573917931422
V02Q1940309,125,0,125,9190,0.6800870511425462
V02Q1940311,125,0,125,9190,0.6800870511425462
V02Q1940325,125,0,125,9199,0.6794216762691597
V02Q1940605,122,0,122,8994,0.6782299310651546
OC3CL200086,122,0,122,8996,0.6780791462872388
V02Q1940200,124,0,124,9151,0.6775215823407278
V02Q1940561,122,0,122,9005,0.6774014436424208
V02Q1940628,121,0,121,8937,0.6769609488642722
V02Q1940748,124,0,124,9162,0.6767081423270028
V02Q1940754,124,0,124,9164,0.6765604539502401
V02Q1940170,124,0,124,9169,0.6761915148871196
V02Q1940353,124,0,124,9171,0.6760440519027369
V02Q1940294,125,0,125,9257,0.675164740196608
OC3CL200111,121,0,121,8966,0.6747713584653134
V02Q1940351,123,0,123,9126,0.6738987508218277
OC3CL200058,121,0,121,8980,0.6737193763919822
V02Q1940426,122,0,122,9063,0.6730663135826989
V02Q1940626,122,0,122,9080,0.6718061674008811
V02Q1940220,124,0,124,9229,0.6717954274569292
V02Q1940649,122,0,122,9082,0.6716582250605593
V02Q1940285,124,0,124,9232,0.67157712305026
V02Q1940376,123,0,123,9162,0.6712508185985593
V02Q1940357,123,0,123,9165,0.6710310965630115
